sample_id,video_id,clip_id,relative_path,label_match,duration_seconds,width,height,frame_rate,video_codec,audio_codec,has_audio,has_video,error
-egA8-b7-3M$_$17,-egA8-b7-3M,17,-egA8-b7-3M\17.mp4,True,7.271029,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$18,-egA8-b7-3M,18,-egA8-b7-3M\18.mp4,True,8.386003,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$20,-egA8-b7-3M,20,-egA8-b7-3M\20.mp4,True,6.644987,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$26,-egA8-b7-3M,26,-egA8-b7-3M\26.mp4,True,6.03099,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$6,-egA8-b7-3M,6,-egA8-b7-3M\6.mp4,True,6.264974,640,360,30/1,h264,aac,True,True,
-egA8-b7-3M$_$9,-egA8-b7-3M,9,-egA8-b7-3M\9.mp4,True,5.089974,640,360,30/1,h264,aac,True,True,
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,-HeZS2-Prhc\2.mp4,True,8.261979,360,360,30/1,h264,aac,True,True,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,6,-hnBHBN8p5A\6.mp4,True,6.401,1280,720,24660000/1028527,h264,aac,True,True,
-hnBHBN8p5A$_$7,-hnBHBN8p5A,7,-hnBHBN8p5A\7.mp4,True,7.372,1280,720,24000/1001,h264,aac,True,True,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,-HwX2H8Z4hY\2.mp4,True,3.982031,1280,720,30/1,h264,aac,True,True,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,-HwX2H8Z4hY\5.mp4,True,5.652995,1280,720,30/1,h264,aac,True,True,
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,-HwX2H8Z4hY\6.mp4,True,3.358008,1280,720,30/1,h264,aac,True,True,
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,-HwX2H8Z4hY\9.mp4,True,7.733984,1280,720,30/1,h264,aac,True,True,
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,-I_e4mIh0yE\1.mp4,True,7.622005,640,360,30/1,h264,aac,True,True,
-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,-I_e4mIh0yE\3.mp4,True,9.163021,640,360,30/1,h264,aac,True,True,
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,-iRBcNs9oI8\3.mp4,True,5.621,1280,720,30000/1001,h264,aac,True,True,
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,-iRBcNs9oI8\6.mp4,True,2.903,1280,720,30000/1001,h264,aac,True,True,
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,-iRBcNs9oI8\7.mp4,True,4.104,1280,720,30000/1001,h264,aac,True,True,
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,-iRBcNs9oI8\8.mp4,True,8.093,1280,720,30000/1001,h264,aac,True,True,
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,-iRBcNs9oI8\9.mp4,True,3.416,1280,720,30000/1001,h264,aac,True,True,
-lzEya4AM_4$_$5,-lzEya4AM_4,5,-lzEya4AM_4\5.mp4,True,7.675,470,360,30/1,h264,aac,True,True,
-lzEya4AM_4$_$6,-lzEya4AM_4,6,-lzEya4AM_4\6.mp4,True,14.791992,470,360,30/1,h264,aac,True,True,
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,-MeTTeMJBNc\0.mp4,True,9.3,470,360,30/1,h264,aac,True,True,
-MeTTeMJBNc$_$13,-MeTTeMJBNc,13,-MeTTeMJBNc\13.mp4,True,5.430013,470,360,30/1,h264,aac,True,True,
-MeTTeMJBNc$_$7,-MeTTeMJBNc,7,-MeTTeMJBNc\7.mp4,True,10.516992,470,360,30/1,h264,aac,True,True,
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,-mJ2ud6oKI8\1.mp4,True,6.103,1280,720,30000/1001,h264,aac,True,True,
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,-mJ2ud6oKI8\2.mp4,True,5.731,1280,720,30000/1001,h264,aac,True,True,
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,-mJ2ud6oKI8\6.mp4,True,2.257,1280,720,30000/1001,h264,aac,True,True,
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,-mJ2ud6oKI8\8.mp4,True,4.192,1280,720,30000/1001,h264,aac,True,True,
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,-mJ2ud6oKI8\9.mp4,True,7.033,1280,720,30000/1001,h264,aac,True,True,
-mqbVkbCndg$_$0,-mqbVkbCndg,0,-mqbVkbCndg\0.mp4,True,6.466667,1280,720,30/1,h264,aac,True,True,
-NFrJFQijFE$_$1,-NFrJFQijFE,1,-NFrJFQijFE\1.mp4,True,5.746,1280,720,25/1,h264,aac,True,True,
-NFrJFQijFE$_$2,-NFrJFQijFE,2,-NFrJFQijFE\2.mp4,True,6.856,1280,720,25/1,h264,aac,True,True,
-qDkUB0GgYY$_$6,-qDkUB0GgYY,6,-qDkUB0GgYY\6.mp4,True,4.677995,360,360,30/1,h264,aac,True,True,
-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,-RfYyzHpjk4\11.mp4,True,5.238997,1280,720,30/1,h264,aac,True,True,
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,-RfYyzHpjk4\2.mp4,True,5.516016,1280,720,30/1,h264,aac,True,True,
-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,-RfYyzHpjk4\8.mp4,True,4.588997,1280,720,30/1,h264,aac,True,True,
-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,-ri04Z7vwnc\0.mp4,True,2.807,1280,720,3555000/148273,h264,aac,True,True,
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,-ri04Z7vwnc\2.mp4,True,6.027,1280,720,7470000/311561,h264,aac,True,True,
-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,-ri04Z7vwnc\5.mp4,True,3.545,1280,720,1597500/66629,h264,aac,True,True,
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,-s9qJ7ATP7w\0.mp4,True,6.8,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,-s9qJ7ATP7w\1.mp4,True,4.791992,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,-s9qJ7ATP7w\4.mp4,True,4.427018,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,-s9qJ7ATP7w\5.mp4,True,8.561003,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,-s9qJ7ATP7w\6.mp4,True,2.475,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,-s9qJ7ATP7w\7.mp4,True,6.966016,1280,720,30/1,h264,aac,True,True,
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,-s9qJ7ATP7w\8.mp4,True,3.294987,1280,720,30/1,h264,aac,True,True,
-t217m2on-s$_$2,-t217m2on-s,2,-t217m2on-s\2.mp4,True,5.686003,480,270,30/1,h264,aac,True,True,
-t217m2on-s$_$7,-t217m2on-s,7,-t217m2on-s\7.mp4,True,17.183008,480,270,30/1,h264,aac,True,True,
-tANM6ETl_M$_$3,-tANM6ETl_M,3,-tANM6ETl_M\3.mp4,True,6.758008,1280,720,30/1,h264,aac,True,True,
-THoVjtIkeU$_$12,-THoVjtIkeU,12,-THoVjtIkeU\12.mp4,True,14.896029,640,360,30/1,h264,aac,True,True,
-THoVjtIkeU$_$2,-THoVjtIkeU,2,-THoVjtIkeU\2.mp4,True,4.291992,640,360,30/1,h264,aac,True,True,
-THoVjtIkeU$_$6,-THoVjtIkeU,6,-THoVjtIkeU\6.mp4,True,8.097005,640,360,30/1,h264,aac,True,True,
-tPCytz4rww$_$10,-tPCytz4rww,10,-tPCytz4rww\10.mp4,True,4.788997,480,270,30/1,h264,aac,True,True,
-tPCytz4rww$_$11,-tPCytz4rww,11,-tPCytz4rww\11.mp4,True,5.466992,480,270,30/1,h264,aac,True,True,
-tPCytz4rww$_$12,-tPCytz4rww,12,-tPCytz4rww\12.mp4,True,11.863997,480,270,30/1,h264,aac,True,True,
-tPCytz4rww$_$16,-tPCytz4rww,16,-tPCytz4rww\16.mp4,True,7.20599,480,270,30/1,h264,aac,True,True,
-tPCytz4rww$_$18,-tPCytz4rww,18,-tPCytz4rww\18.mp4,True,6.644987,480,270,30/1,h264,aac,True,True,
-UacrmKiTn4$_$10,-UacrmKiTn4,10,-UacrmKiTn4\10.mp4,True,7.361979,470,360,30/1,h264,aac,True,True,
-UacrmKiTn4$_$4,-UacrmKiTn4,4,-UacrmKiTn4\4.mp4,True,4.741016,470,360,30/1,h264,aac,True,True,
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,-UUCSKoHeMA\0.mp4,True,7.8,470,360,30/1,h264,aac,True,True,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,-UuX1xuaiiE\0.mp4,True,3.633333,1280,720,30/1,h264,aac,True,True,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,-UuX1xuaiiE\1.mp4,True,10.35,1280,720,30/1,h264,aac,True,True,
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,-UuX1xuaiiE\3.mp4,True,4.130013,1280,720,30/1,h264,aac,True,True,
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,-UuX1xuaiiE\6.mp4,True,8.113997,1280,720,30/1,h264,aac,True,True,
-uywlfIYOS8$_$4,-uywlfIYOS8,4,-uywlfIYOS8\4.mp4,True,6.044987,480,270,30/1,h264,aac,True,True,
-vxjVxOeScU$_$4,-vxjVxOeScU,4,-vxjVxOeScU\4.mp4,True,9.127018,480,360,30/1,h264,aac,True,True,
-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,-wMB_hJL-3o\7.mp4,True,6.04401,480,360,30/1,h264,aac,True,True,
-wny0OAz3g8$_$0,-wny0OAz3g8,0,-wny0OAz3g8\0.mp4,True,3.333333,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$1,-wny0OAz3g8,1,-wny0OAz3g8\1.mp4,True,6.84401,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$2,-wny0OAz3g8,2,-wny0OAz3g8\2.mp4,True,6.686979,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$3,-wny0OAz3g8,3,-wny0OAz3g8\3.mp4,True,6.146029,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$5,-wny0OAz3g8,5,-wny0OAz3g8\5.mp4,True,6.911979,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$7,-wny0OAz3g8,7,-wny0OAz3g8\7.mp4,True,8.067969,1280,720,30/1,h264,aac,True,True,
-wny0OAz3g8$_$9,-wny0OAz3g8,9,-wny0OAz3g8\9.mp4,True,6.213021,1280,720,30/1,h264,aac,True,True,
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,-yRb-Jum7EQ\1.mp4,True,29.288021,1280,720,30/1,h264,aac,True,True,
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,-yRb-Jum7EQ\5.mp4,True,13.16901,1280,720,30/1,h264,aac,True,True,
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,-yRb-Jum7EQ\6.mp4,True,11.241995,1280,720,30/1,h264,aac,True,True,
