sample_id,duration_s,text_dimension,audio_dimension,vision_dimension,aligned_windows,window_seconds,text_valid_windows,audio_signal_windows,face_valid_windows,asr_anchor_accepted,feature_file,mapping_file
-t217m2on-s$_$2,5.630,50×768,50×50,50×35,50,0.113,14,50,50,True,d89e5dbd993ed425910b.npz,d89e5dbd993ed425910b.json
-t217m2on-s$_$7,17.026,50×768,50×50,50×35,50,0.341,40,50,50,True,e555ba3593e02f043389.npz,e555ba3593e02f043389.json
-tANM6ETl_M$_$3,6.604,50×768,50×50,50×35,50,0.132,25,50,50,True,0c21774b7e7f79f691b3.npz,0c21774b7e7f79f691b3.json
-tPCytz4rww$_$11,5.379,50×768,50×50,50×35,50,0.108,18,50,50,True,045f94fc41b92eaafcdd.npz,045f94fc41b92eaafcdd.json
-tPCytz4rww$_$10,4.679,50×768,50×50,50×35,50,0.094,13,50,50,True,2e80fc2043ee710ab7c3.npz,2e80fc2043ee710ab7c3.json
-tPCytz4rww$_$12,11.736,50×768,50×50,50×35,50,0.235,25,50,50,True,855601d6c94b389300c9.npz,855601d6c94b389300c9.json
-tPCytz4rww$_$16,7.139,50×768,50×50,50×35,50,0.143,17,50,50,True,173b4674cd47a870f924.npz,173b4674cd47a870f924.json
-tPCytz4rww$_$18,6.569,50×768,50×50,50×35,50,0.131,17,50,50,True,ca6e74b4072e37a3b21a.npz,ca6e74b4072e37a3b21a.json
-vxjVxOeScU$_$4,9.037,50×768,50×50,50×35,50,0.181,22,50,50,True,c6aa12817a2459cd8712.npz,c6aa12817a2459cd8712.json
-wMB_hJL-3o$_$7,5.976,50×768,50×50,50×35,50,0.120,23,50,50,True,635e21a80b694305906e.npz,635e21a80b694305906e.json
-wny0OAz3g8$_$1,6.777,50×768,50×50,50×35,50,0.136,28,50,50,True,b4e6d85d7fc3011bd343.npz,b4e6d85d7fc3011bd343.json
-wny0OAz3g8$_$0,3.274,50×768,50×50,50×35,50,0.065,11,50,50,True,8a5e5dad85e40d147624.npz,8a5e5dad85e40d147624.json
-wny0OAz3g8$_$3,6.100,50×768,50×50,50×35,50,0.122,20,50,50,True,9b69b68bcd259161b567.npz,9b69b68bcd259161b567.json
-wny0OAz3g8$_$2,6.523,50×768,50×50,50×35,50,0.130,27,50,50,True,8678cc135d4d4facb42d.npz,8678cc135d4d4facb42d.json
-wny0OAz3g8$_$5,6.741,50×768,50×50,50×35,50,0.135,23,50,50,True,92cff8134d855521438b.npz,92cff8134d855521438b.json
-wny0OAz3g8$_$7,7.910,50×768,50×50,50×35,50,0.158,29,50,50,True,ea37a99609120456f7a1.npz,ea37a99609120456f7a1.json
-wny0OAz3g8$_$9,6.043,50×768,50×50,50×35,50,0.121,22,50,50,True,4f275272762c58a66821.npz,4f275272762c58a66821.json
-571d8cVauQ$_$0,4.992,50×768,50×50,50×35,50,0.100,14,50,46,True,86ae657283b65b00bac0.npz,86ae657283b65b00bac0.json
-571d8cVauQ$_$5,15.115,50×768,50×50,50×35,50,0.302,42,50,50,True,c85c8d88b3f0ebd8f1af.npz,c85c8d88b3f0ebd8f1af.json
-I_e4mIh0yE$_$1,7.444,50×768,50×50,50×35,50,0.149,19,50,50,True,53896899bc7d09bd808b.npz,53896899bc7d09bd808b.json
-I_e4mIh0yE$_$3,8.994,50×768,50×50,50×35,50,0.180,24,50,50,True,137c460938c0f3a586e9.npz,137c460938c0f3a586e9.json
-UacrmKiTn4$_$10,7.242,50×768,50×50,50×35,50,0.145,20,50,50,True,672e9657d8004916dd06.npz,672e9657d8004916dd06.json
-UacrmKiTn4$_$4,4.682,50×768,50×50,50×35,50,0.094,15,50,50,True,6b6b597881072c9d1bea.npz,6b6b597881072c9d1bea.json
-hnBHBN8p5A$_$7,7.309,50×768,50×50,50×35,50,0.146,17,50,45,False,5e3f10b5cb4bad926b03.npz,5e3f10b5cb4bad926b03.json
-hnBHBN8p5A$_$6,6.333,50×768,50×50,50×35,50,0.127,13,50,44,False,4f3bec0a51f404f9d621.npz,4f3bec0a51f404f9d621.json
-qDkUB0GgYY$_$6,4.615,50×768,50×50,50×35,50,0.092,18,50,50,True,efcda9457dbcb06f7f3c.npz,efcda9457dbcb06f7f3c.json
-uywlfIYOS8$_$4,5.881,50×768,50×50,50×35,50,0.118,20,50,50,True,9b236026ca3c7d8b2f74.npz,9b236026ca3c7d8b2f74.json
-6rXp3zJ3kc$_$8,12.738,50×768,50×50,50×35,50,0.255,34,50,50,True,d1a547c4af725a56dd48.npz,d1a547c4af725a56dd48.json
-9y-fZ3swSY$_$0,6.757,50×768,50×50,50×35,50,0.135,27,50,50,True,c60ab78f9e41b008aec8.npz,c60ab78f9e41b008aec8.json
-9y-fZ3swSY$_$4,2.665,50×768,50×50,50×35,50,0.053,11,50,50,True,608df3cd12e288912555.npz,608df3cd12e288912555.json
-9y-fZ3swSY$_$8,4.917,50×768,50×50,50×35,50,0.098,14,50,50,True,45bac43eaacc66cf93c8.npz,45bac43eaacc66cf93c8.json
-AUZQgSxyPQ$_$2,22.405,50×768,50×50,50×35,50,0.448,42,50,50,True,4d606e049961c55bd715.npz,4d606e049961c55bd715.json
-HeZS2-Prhc$_$2,8.151,50×768,50×50,50×35,50,0.163,17,50,50,True,7e5ce1d3422c8d21ca8d.npz,7e5ce1d3422c8d21ca8d.json
-MeTTeMJBNc$_$0,9.218,50×768,50×50,50×35,50,0.184,24,50,48,True,8e8704664f41b59bc273.npz,8e8704664f41b59bc273.json
-MeTTeMJBNc$_$13,5.255,50×768,50×50,50×35,50,0.105,16,50,50,True,563477373ff01c65ddbb.npz,563477373ff01c65ddbb.json
-MeTTeMJBNc$_$7,10.411,50×768,50×50,50×35,50,0.208,32,50,50,True,c4b14850b66535f3582f.npz,c4b14850b66535f3582f.json
-RfYyzHpjk4$_$11,5.075,50×768,50×50,50×35,50,0.101,19,50,50,True,72e07b1b22a0b95d7e4b.npz,72e07b1b22a0b95d7e4b.json
-RfYyzHpjk4$_$8,4.532,50×768,50×50,50×35,50,0.091,19,50,50,True,b466ce08c6b50f05d771.npz,b466ce08c6b50f05d771.json
-RfYyzHpjk4$_$2,5.392,50×768,50×50,50×35,50,0.108,27,50,50,True,4d423d22100e313e7b50.npz,4d423d22100e313e7b50.json
-UUCSKoHeMA$_$0,7.732,50×768,50×50,50×35,50,0.155,22,50,48,True,e595c3acb2be672f9849.npz,e595c3acb2be672f9849.json
-ri04Z7vwnc$_$0,2.763,50×768,50×50,50×35,50,0.055,8,50,0,False,75d4f33bd731a5ba9743.npz,75d4f33bd731a5ba9743.json
-ri04Z7vwnc$_$2,5.913,50×768,50×50,50×35,50,0.118,19,50,17,False,f588d0bb7f99e006dd06.npz,f588d0bb7f99e006dd06.json
-ri04Z7vwnc$_$5,3.440,50×768,50×50,50×35,50,0.069,9,50,50,False,638a5d64a9c45deecff8.npz,638a5d64a9c45deecff8.json
-s9qJ7ATP7w$_$1,4.644,50×768,50×50,50×35,50,0.093,12,50,50,True,8ae9d60691c2c13d53a3.npz,8ae9d60691c2c13d53a3.json
-s9qJ7ATP7w$_$0,6.711,50×768,50×50,50×35,50,0.134,28,50,50,True,a9660ef67c0aeb11b66a.npz,a9660ef67c0aeb11b66a.json
-s9qJ7ATP7w$_$5,8.398,50×768,50×50,50×35,50,0.168,20,50,50,True,9b5e4e9015c12e4954c0.npz,9b5e4e9015c12e4954c0.json
-s9qJ7ATP7w$_$4,4.247,50×768,50×50,50×35,50,0.085,10,50,50,True,f9bdb0562f96d0f4c7ab.npz,f9bdb0562f96d0f4c7ab.json
-s9qJ7ATP7w$_$7,6.839,50×768,50×50,50×35,50,0.137,32,50,37,True,e1fcd4468ec135fa1c48.npz,e1fcd4468ec135fa1c48.json
-s9qJ7ATP7w$_$6,2.315,50×768,50×50,50×35,50,0.046,5,50,42,True,117efd28b91a0a2a87e8.npz,117efd28b91a0a2a87e8.json
-s9qJ7ATP7w$_$8,3.184,50×768,50×50,50×35,50,0.064,17,50,50,True,fe4e312dc6067b96685f.npz,fe4e312dc6067b96685f.json
-yRb-Jum7EQ$_$1,29.110,50×768,50×50,50×35,50,0.582,44,50,50,False,f1992cb41a335da1580c.npz,f1992cb41a335da1580c.json
-yRb-Jum7EQ$_$5,13.045,50×768,50×50,50×35,50,0.261,27,50,50,False,e28897e0abdaa7261a19.npz,e28897e0abdaa7261a19.json
-yRb-Jum7EQ$_$6,11.243,50×768,50×50,50×35,50,0.225,21,50,50,False,24b60f4810cbf1679dfd.npz,24b60f4810cbf1679dfd.json
